"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"PDCD1",-1.53646887091325,1.64604714887494,65.0570700447308,1.6954603236263e-11,1.64441710012665e-09,1.53646887091325,"UP",NA
"MS4A6A",-1.90721441273204,5.09996127126201,98.7761698270928,1.78652026260313e-11,1.72361594388306e-09,1.90721441273204,"UP",NA
"RAC2",-2.12220608064513,4.2831666198724,99.2924868049304,1.88840125620956e-11,1.81237086008259e-09,2.12220608064513,"UP",NA
"ETV7",-1.58444123988374,2.02453078356272,73.8195399178999,1.93024186634066e-11,1.84287831520264e-09,1.58444123988374,"UP",NA
"GZMA",-2.06203961516254,2.71518688816077,86.864312792412,1.98330315552505e-11,1.88372695046268e-09,2.06203961516254,"UP",NA
"GNA15",-1.31510383200115,2.14604133109186,80.113265055473,2.10509136944542e-11,1.98635505451749e-09,1.31510383200115,"UP",NA
"CD4",-1.5847969405615,5.3965805477071,97.2216775117758,2.1130283979647e-11,1.98635505451749e-09,1.5847969405615,"UP",NA
"MIR3142HG",-1.41818569298553,1.9963173705235,74.0276198808579,2.14311295522882e-11,2.00435732562752e-09,1.41818569298553,"UP",NA
"CD200R1",-1.54967173045904,1.95682260818432,71.5061473391772,2.16623996659466e-11,2.01570278312928e-09,1.54967173045904,"UP",NA
"HLA-DPA1",-1.87852107658048,8.13425978396926,96.6958848932704,2.2071077427417e-11,2.04335818344435e-09,1.87852107658048,"UP",NA
"HLA-E",-1.04743949583142,9.32031057542704,96.4977154488293,2.26346615893704e-11,2.08500493263693e-09,1.04743949583142,"UP",NA
"SLA",-1.78101413197882,3.92683361366212,97.8078560876694,2.31566734277244e-11,2.12242490301808e-09,1.78101413197882,"UP",NA
